"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDYL2",1.15625352451662e-07,0.693048598221754,0.114,0.059,0.00393288073829083,"MP1","CDYL2"
"RAB5C",1.16664055048476e-07,0.582093271101898,0.189,0.115,0.00396821116841886,"MP1","RAB5C"
"JAK2",1.19974055862043e-07,0.374702204785136,0.523,0.405,0.00408079753609155,"MP1","JAK2"
"RHOG",1.22827349611035e-07,1.08096260831777,0.084,0.038,0.00417784946966974,"MP1","RHOG"
"DDX21",1.24269967846472e-07,0.635106739155241,0.206,0.129,0.00422691868632989,"MP1","DDX21"
"WBP1L",1.2523383108886e-07,0.354301883460402,0.32,0.221,0.00425970353065649,"MP1","WBP1L"
"CLIC1",1.25360586174756e-07,0.683153108384522,0.105,0.053,0.00426401497814815,"MP1","CLIC1"
"SPG11",1.25766371214233e-07,0.265695263693436,0.413,0.3,0.00427781735048092,"MP1","SPG11"
"NUDT16",1.33637089052321e-07,0.577283042378754,0.184,0.111,0.00454553194702566,"MP1","NUDT16"
"KDELR1",1.33751982386499e-07,0.728851590694483,0.073,0.031,0.00454943992889438,"MP1","KDELR1"
"ZC3H3",1.35200830124952e-07,0.629917798394997,0.181,0.11,0.00459872103587012,"MP1","ZC3H3"
"MILR1",1.36515828385423e-07,0.522800669929011,0.136,0.075,0.00464344938670177,"MP1","MILR1"
"AC012291.3",1.38916455860708e-07,0.892693774255908,0.078,0.035,0.00472510432964613,"MP1","AC012291.3"
"ZMYM2",1.39870967055061e-07,0.29992711801022,0.506,0.393,0.00475757107341085,"MP1","ZMYM2"
"SPN",1.40357080456578e-07,0.529771151178485,0.051,0.018,0.00477410573465005,"MP1","SPN"
"AC116362.1",1.43869317332111e-07,1.34193985099872,0.071,0.03,0.00489357095973441,"MP1","AC116362.1"
"SELENOO",1.44707777607704e-07,0.593941382570163,0.163,0.096,0.00492209034754846,"MP1","SELENOO"
"TMTC4",1.44937138986309e-07,1.06735598083395,0.081,0.037,0.00492989184548032,"MP1","TMTC4"
"YY1",1.49125244950451e-07,0.250383788772451,0.221,0.138,0.00507234608174464,"MP1","YY1"
"SOCS6",1.49310422129882e-07,0.558941699308023,0.123,0.065,0.0050786446983258,"MP1","SOCS6"
"ZC3H7A",1.53401070709967e-07,0.453502732917171,0.267,0.179,0.00521778401912883,"MP1","ZC3H7A"
"LACTB",1.53450684285881e-07,0.427445507513099,0.171,0.101,0.00521947157529995,"MP1","LACTB"
