"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IL1RL1",3.0093313107935e-14,1.16957190339753,0.054,0.023,1.0235939520533e-09,"FB2","IL1RL1"
"AC003991.1",4.51828753222845e-14,1.38695088352408,0.111,0.068,1.53685032121219e-09,"FB2","AC003991.1"
"RGMA1",5.01213355698557e-14,0.745626904819322,0.241,0.184,1.70482710807307e-09,"FB2","RGMA"
"ZBTB20-AS5",5.07720435882465e-14,0.863640467031391,0.361,0.315,1.72696029061062e-09,"FB2","ZBTB20-AS5"
"GLCE",5.08160784113542e-14,1.0096786216608,0.155,0.105,1.7284580910838e-09,"FB2","GLCE"
"CST31",5.53651901044152e-14,0.243519697385046,0.428,0.358,1.88319157621158e-09,"FB2","CST3"
"CKM1",5.87725264588736e-14,0.828839571177673,0.171,0.119,1.99908871497213e-09,"FB2","CKM"
"ERI2",8.67832966985286e-14,0.791498537486307,0.215,0.159,2.95184705390375e-09,"FB2","ERI2"
"PTGIS1",1.82767126104636e-13,0.514843311397718,0.306,0.244,6.21664102732307e-09,"FB2","PTGIS"
"AC004381.1",2.1404104076163e-13,1.12918967058588,0.13,0.085,7.28039196046607e-09,"FB2","AC004381.1"
"CYP4B11",2.43522010004011e-13,0.609709872453753,0.125,0.078,8.28315764827642e-09,"FB2","CYP4B1"
"FAM110B",2.9584306072626e-13,0.399957254284872,0.576,0.548,1.0062805867543e-08,"FB2","FAM110B"
"GALNT7",3.19860793465294e-13,0.574455310552613,0.347,0.292,1.08797450289285e-08,"FB2","GALNT7"
"RBMS1",3.46630206060237e-13,0.207025150691425,0.79,0.802,1.17902798289329e-08,"FB2","RBMS1"
"ADRA1B",4.97395432990892e-13,0.723458981837937,0.206,0.152,1.69184082577522e-08,"FB2","ADRA1B"
"OVCH1-AS1",5.03793128312447e-13,1.04386045901466,0.079,0.043,1.71360194664196e-08,"FB2","OVCH1-AS1"
"MT-ND4L1",5.43805405916867e-13,0.677210403672166,0.196,0.142,1.84969970768563e-08,"FB2","MT-ND4L"
"TENM4",9.86529371633343e-13,0.655013703546789,0.243,0.189,3.35558100467365e-08,"FB2","TENM4"
"AUTS21",1.03796637698195e-12,0.251936217036651,0.721,0.713,3.5305388346664e-08,"FB2","AUTS2"
"AC097662.1",1.17661968236571e-12,0.616706408540534,0.351,0.297,4.00215418759873e-08,"FB2","AC097662.1"
"TNXB1",1.68577902509143e-12,0.367343161190795,0.395,0.338,5.73400877594597e-08,"FB2","TNXB"
"AC025159.1",1.9076184310013e-12,0.402209822321337,0.496,0.453,6.48857333120783e-08,"FB2","AC025159.1"
"PCDH9",2.15804010887681e-12,0.201744019572149,0.798,0.758,7.34035762633357e-08,"FB2","PCDH9"
"SLC25A4",2.19402304843062e-12,0.744119521161744,0.247,0.197,7.46274999693189e-08,"FB2","SLC25A4"
"FNDC3B",2.37341911955305e-12,0.174346807694026,0.888,0.905,8.07294779324774e-08,"FB2","FNDC3B"
"GNA14-AS1",2.64570950154429e-12,1.10853792026972,0.159,0.114,8.99911629855275e-08,"FB2","GNA14-AS1"
"TBC1D41",2.87232550336317e-12,0.530913415584031,0.365,0.313,9.7699279671395e-08,"FB2","TBC1D4"
"LAMC2",3.29252290579878e-12,1.18434852969415,0.068,0.036,1.1199187411784e-07,"FB2","LAMC2"
"ADAM22",3.83926406464533e-12,1.01491572739681,0.105,0.065,1.30588727894846e-07,"FB2","ADAM22"
"SERINC5",4.72592188191741e-12,0.54066010735031,0.391,0.344,1.60747506891539e-07,"FB2","SERINC5"
"RHOJ",5.67967496674632e-12,0.524628716392894,0.386,0.339,1.93188464318909e-07,"FB2","RHOJ"
"PTBP31",6.78418361118922e-12,0.552624321440389,0.376,0.329,2.3075722135099e-07,"FB2","PTBP3"
"C6",7.44311396365929e-12,0.619527753621233,0.202,0.149,2.53170078359907e-07,"FB2","C6"
