"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TCTN3",2.47458245945641e-34,0.784064294477651,0.16,0.067,8.41704477759505e-30,"Peds_Ctrl","TCTN3"
"CCNL2",2.48554956354228e-34,0.517377823500648,0.31,0.179,8.45434828543272e-30,"Peds_Ctrl","CCNL2"
"CNDP2",2.50684665594008e-34,1.6552048680141,0.077,0.016,8.52678821551457e-30,"Peds_Ctrl","CNDP2"
"GRHPR",2.61718002251499e-34,1.12272494567731,0.13,0.048,8.90207612858249e-30,"Peds_Ctrl","GRHPR"
"NT5C3A",2.62225303570029e-34,0.525558078058046,0.293,0.166,8.91933147563096e-30,"Peds_Ctrl","NT5C3A"
"RPS21",2.71677486020205e-34,0.819408850341683,0.142,0.056,9.24083800949127e-30,"Peds_Ctrl","RPS21"
"CLPTM1",2.74575855051454e-34,0.686817633260854,0.155,0.063,9.33942313372017e-30,"Peds_Ctrl","CLPTM1"
"LINC01725",2.749973809678e-34,1.19953581573626,0.168,0.076,9.35376091623876e-30,"Peds_Ctrl","LINC01725"
"SLC26A6",2.7759816194784e-34,2.1700073446562,0.061,0.008,9.44222388049383e-30,"Peds_Ctrl","SLC26A6"
"ABHD6",2.78870637772525e-34,0.786188268307763,0.139,0.053,9.48550587319468e-30,"Peds_Ctrl","ABHD6"
"NOL11",3.2864318723617e-34,0.864665260777807,0.132,0.049,1.11784693706511e-29,"Peds_Ctrl","NOL11"
"CMTR1",3.45855556501376e-34,0.719839514278013,0.18,0.08,1.17639308988378e-29,"Peds_Ctrl","CMTR1"
"DTD1",3.64576515836027e-34,0.761147521194707,0.182,0.083,1.24007056096466e-29,"Peds_Ctrl","DTD1"
"MAMDC4",3.68704119127167e-34,3.23083915169342,0.058,0.007,1.25411019079914e-29,"Peds_Ctrl","MAMDC4"
"TUBGCP5",3.70187995995255e-34,0.538042092792034,0.203,0.095,1.25915744957826e-29,"Peds_Ctrl","TUBGCP5"
"PSMB1",3.78156950379856e-34,0.663535947560945,0.282,0.162,1.28626305102204e-29,"Peds_Ctrl","PSMB1"
