"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLK",4.11684221805051e-13,0.532376976939535,0.258,0.18,1.4003027120477e-08,"EC3","SLK"
"IL4R",4.65702867420517e-13,0.657087902340544,0.246,0.172,1.58404173324415e-08,"EC3","IL4R"
"KPNA4",4.81315634959704e-13,0.492729180005214,0.28,0.2,1.63714700075194e-08,"EC3","KPNA4"
"MIRLET7BHG1",4.87206987303024e-13,0.340175045917418,0.42,0.323,1.65718584661251e-08,"EC3","MIRLET7BHG"
"ZNF608",5.63571383636833e-13,0.52359242530088,0.142,0.084,1.91693170430232e-08,"EC3","ZNF608"
"NTN4",5.65310193097048e-13,1.09179040680592,0.105,0.058,1.9228460908003e-08,"EC3","NTN4"
"STX12",5.78581853106981e-13,0.440846959789334,0.375,0.286,1.96798831515809e-08,"EC3","STX12"
"PIM3",6.44997454006056e-13,0.997440227896475,0.095,0.05,2.1938943400562e-08,"EC3","PIM3"
"PRICKLE4",6.55114759956265e-13,0.92843311568254,0.098,0.052,2.22830734451524e-08,"EC3","PRICKLE4"
"PLOD2",6.5746871711565e-13,0.841563125953509,0.192,0.126,2.23631409439717e-08,"EC3","PLOD2"
"ZFPM2-AS1",6.69147898092336e-13,0.489763359226836,0.114,0.063,2.27603966057127e-08,"EC3","ZFPM2-AS1"
"DELE1",7.6442188156595e-13,0.530199733499287,0.215,0.144,2.60010458795842e-08,"EC3","DELE1"
"SLC25A33",9.28111732905839e-13,0.692575733168529,0.111,0.061,3.15687924830592e-08,"EC3","SLC25A33"
"AC104248.1",9.57301160066671e-13,1.04243376198914,0.056,0.024,3.25616416585078e-08,"EC3","AC104248.1"
"ASPH",9.64832966679222e-13,0.458346302457012,0.216,0.144,3.2817828528627e-08,"EC3","ASPH"
"ZDHHC17",1.11159044598161e-12,0.4265603127781,0.307,0.224,3.78096374296185e-08,"EC3","ZDHHC17"
"KRAS",1.19774726935917e-12,0.408387512156532,0.286,0.204,4.07401756199829e-08,"EC3","KRAS"
"YWHAZ",1.31850388298863e-12,0.394131762253036,0.375,0.287,4.48475910759753e-08,"EC3","YWHAZ"
"ANKRD17",1.33613046830805e-12,0.328748989967557,0.598,0.503,4.54471417490299e-08,"EC3","ANKRD17"
"NUP98",1.34224633677356e-12,0.439340709757684,0.329,0.245,4.56551668990158e-08,"EC3","NUP98"
"KSR1",1.44014933845486e-12,0.494173385136511,0.181,0.116,4.89852395982035e-08,"EC3","KSR1"
"UBE2D3",1.47661347001587e-12,0.369661003333197,0.484,0.391,5.02255305691196e-08,"EC3","UBE2D3"
